,number,ci,week_start_date,description,cleanDescription,tokens
0,INC3422521,slack,2023-05-15,PPT animations are not playing during the slideshow. More information can be found at https://www.cooper-baker.biz/. Contact us at mcgrathamber@example.net for assistance.,ppt animations playing slideshow information found contact us assistance,"['ppt', 'animations', 'playing', 'slideshow', 'information', 'found', 'contact', 'us', 'assistance']"
1,INC3422521,ppt,2023-05-15,PowerPoint slides are pixelated when presented. More information can be found at https://norris.com/. Contact us at brandon21@example.net for assistance.,powerpoint slides pixelated presented information found contact us assistance,"['powerpoint', 'slides', 'pixelated', 'presented', 'information', 'found', 'contact', 'us', 'assistance']"
2,INC3422521,share point,2023-05-15,SharePoint permissions are not applying to subfolders. More information can be found at https://www.hall.com/. Contact us at brian92@example.org for assistance.,sharepoint permissions applying subfolders information found contact us assistance,"['sharepoint', 'permissions', 'applying', 'subfolders', 'information', 'found', 'contact', 'us', 'assistance']"
3,INC3422521,ppt,2023-05-15,Files uploaded to One Drive cannot be opened by others. More information can be found at http://martinez.net/. Contact us at goodmanelaine@example.com for assistance.,files uploaded one drive cannot opened others information found contact us assistance,"['files', 'uploaded', 'one', 'drive', 'can', 'not', 'opened', 'others', 'information', 'found', 'contact', 'us', 'assistance']"
4,INC3422521,one drive,2023-05-15,One Drive mobile app crashes upon opening. More information can be found at http://www.johnson.info/. Contact us at jacobsbrandy@example.org for assistance.,one drive mobile app crashes upon opening information found contact us assistance,"['one', 'drive', 'mobile', 'app', 'crashes', 'upon', 'opening', 'information', 'found', 'contact', 'us', 'assistance']"
5,INC3422521,slack,2023-05-15,"PPT slides are not saving correctly, causing data loss. More information can be found at https://www.buck-contreras.org/. Contact us at ahorn@example.org for assistance.",ppt slides saving correctly causing data loss information found contact us assistance,"['ppt', 'slides', 'saving', 'correctly', 'causing', 'data', 'loss', 'information', 'found', 'contact', 'us', 'assistance']"
6,INC3422521,share point,2023-05-15,Slack messages are disappearing from certain channels. More information can be found at http://www.thomas.com/. Contact us at lgonzalez@example.com for assistance.,slack messages disappearing certain channels information found contact us assistance,"['slack', 'messages', 'disappearing', 'certain', 'channels', 'information', 'found', 'contact', 'us', 'assistance']"
7,INC3422521,slack,2023-05-15,One Drive files are getting duplicated without reason. More information can be found at https://reid-shaffer.com/. Contact us at cainmarco@example.org for assistance.,one drive files getting duplicated without reason information found contact us assistance,"['one', 'drive', 'files', 'getting', 'duplicated', 'without', 'reason', 'information', 'found', 'contact', 'us', 'assistance']"
8,INC3422521,ppt,2023-05-15,Slack messages are disappearing from certain channels. More information can be found at https://www.smith.com/. Contact us at mburns@example.net for assistance.,slack messages disappearing certain channels information found contact us assistance,"['slack', 'messages', 'disappearing', 'certain', 'channels', 'information', 'found', 'contact', 'us', 'assistance']"
9,INC3422521,slack,2023-05-15,PPT presenter view is not working as expected. More information can be found at http://www.scott-turner.com/. Contact us at jose67@example.net for assistance.,ppt presenter view working expected information found contact us assistance,"['ppt', 'presenter', 'view', 'working', 'expected', 'information', 'found', 'contact', 'us', 'assistance']"
10,INC3422521,ppt,2023-05-15,Files uploaded to One Drive cannot be opened by others. More information can be found at https://shaffer.biz/. Contact us at annejohnson@example.com for assistance.,files uploaded one drive cannot opened others information found contact us assistance,"['files', 'uploaded', 'one', 'drive', 'can', 'not', 'opened', 'others', 'information', 'found', 'contact', 'us', 'assistance']"
11,INC3422521,ppt,2023-05-15,SharePoint lists are not updating in real-time. More information can be found at http://baker-holmes.com/. Contact us at pdiaz@example.com for assistance.,sharepoint lists updating realtime information found contact us assistance,"['sharepoint', 'lists', 'updating', 'realtime', 'information', 'found', 'contact', 'us', 'assistance']"
12,INC3422521,slack,2023-05-15,Slack messages are disappearing from certain channels. More information can be found at http://ross.biz/. Contact us at bradjackson@example.net for assistance.,slack messages disappearing certain channels information found contact us assistance,"['slack', 'messages', 'disappearing', 'certain', 'channels', 'information', 'found', 'contact', 'us', 'assistance']"
13,INC3422521,ppt,2023-05-15,Slack messages are disappearing from certain channels. More information can be found at http://jacobson.net/. Contact us at ryanprice@example.com for assistance.,slack messages disappearing certain channels information found contact us assistance,"['slack', 'messages', 'disappearing', 'certain', 'channels', 'information', 'found', 'contact', 'us', 'assistance']"
14,INC3422521,share point,2023-05-15,PPT presenter view is not working as expected. More information can be found at http://garrett-livingston.com/. Contact us at ashley82@example.net for assistance.,ppt presenter view working expected information found contact us assistance,"['ppt', 'presenter', 'view', 'working', 'expected', 'information', 'found', 'contact', 'us', 'assistance']"
15,INC3422521,one drive,2023-05-15,SharePoint permissions are not applying to subfolders. More information can be found at http://sanchez.info/. Contact us at dianabennett@example.com for assistance.,sharepoint permissions applying subfolders information found contact us assistance,"['sharepoint', 'permissions', 'applying', 'subfolders', 'information', 'found', 'contact', 'us', 'assistance']"
16,INC3422521,share point,2023-05-15,"PPT slides are not saving correctly, causing data loss. More information can be found at http://collins.net/. Contact us at tinasingleton@example.org for assistance.",ppt slides saving correctly causing data loss information found contact us assistance,"['ppt', 'slides', 'saving', 'correctly', 'causing', 'data', 'loss', 'information', 'found', 'contact', 'us', 'assistance']"
17,INC3422521,slack,2023-05-15,Slack messages are disappearing from certain channels. More information can be found at https://hall.org/. Contact us at jacobfox@example.org for assistance.,slack messages disappearing certain channels information found contact us assistance,"['slack', 'messages', 'disappearing', 'certain', 'channels', 'information', 'found', 'contact', 'us', 'assistance']"
18,INC3422521,one drive,2023-05-15,One Drive is not syncing offline changes. More information can be found at https://www.allen-white.com/. Contact us at bennettcorey@example.com for assistance.,one drive syncing offline changes information found contact us assistance,"['one', 'drive', 'syncing', 'offline', 'changes', 'information', 'found', 'contact', 'us', 'assistance']"
19,INC3422521,one drive,2023-05-15,SharePoint lists are not updating in real-time. More information can be found at https://shaffer.com/. Contact us at gailjohnson@example.net for assistance.,sharepoint lists updating realtime information found contact us assistance,"['sharepoint', 'lists', 'updating', 'realtime', 'information', 'found', 'contact', 'us', 'assistance']"
20,INC3422521,one drive,2023-05-15,One Drive is not showing the latest changes made to files. More information can be found at http://rogers-whitney.com/. Contact us at james49@example.com for assistance.,one drive showing latest changes made files information found contact us assistance,"['one', 'drive', 'showing', 'latest', 'changes', 'made', 'files', 'information', 'found', 'contact', 'us', 'assistance']"
21,INC3422521,slack,2023-05-15,Slack messages are disappearing from certain channels. More information can be found at https://www.malone.net/. Contact us at jay63@example.org for assistance.,slack messages disappearing certain channels information found contact us assistance,"['slack', 'messages', 'disappearing', 'certain', 'channels', 'information', 'found', 'contact', 'us', 'assistance']"
22,INC3422521,one drive,2023-05-15,Slack messages are disappearing from certain channels. More information can be found at http://www.figueroa-bailey.net/. Contact us at justinwalker@example.net for assistance.,slack messages disappearing certain channels information found contact us assistance,"['slack', 'messages', 'disappearing', 'certain', 'channels', 'information', 'found', 'contact', 'us', 'assistance']"
23,INC3422521,slack,2023-05-15,One Drive mobile app crashes upon opening. More information can be found at http://vaughn-duarte.org/. Contact us at marcus51@example.com for assistance.,one drive mobile app crashes upon opening information found contact us assistance,"['one', 'drive', 'mobile', 'app', 'crashes', 'upon', 'opening', 'information', 'found', 'contact', 'us', 'assistance']"
24,INC3422521,slack,2023-05-15,Slack notifications are not being delivered to mobile devices. More information can be found at http://hall-davis.com/. Contact us at yyoung@example.net for assistance.,slack notifications delivered mobile devices information found contact us assistance,"['slack', 'notifications', 'delivered', 'mobile', 'devices', 'information', 'found', 'contact', 'us', 'assistance']"
25,INC3422521,one drive,2023-05-15,Slack app freezes on startup. More information can be found at https://www.clark.com/. Contact us at michael13@example.net for assistance.,slack app freezes startup information found contact us assistance,"['slack', 'app', 'freezes', 'startup', 'information', 'found', 'contact', 'us', 'assistance']"
26,INC3422521,one drive,2023-05-15,"Slack app is using excessive memory, slowing down the system. More information can be found at https://www.edwards.com/. Contact us at fletcherdaniel@example.net for assistance.",slack app using excessive memory slowing system information found contact us assistance,"['slack', 'app', 'using', 'excessive', 'memory', 'slowing', 'system', 'information', 'found', 'contact', 'us', 'assistance']"
27,INC3422521,one drive,2023-05-15,Files uploaded to One Drive are missing metadata. More information can be found at https://www.stone-figueroa.net/. Contact us at sarahparker@example.org for assistance.,files uploaded one drive missing metadata information found contact us assistance,"['files', 'uploaded', 'one', 'drive', 'missing', 'metadata', 'information', 'found', 'contact', 'us', 'assistance']"
28,INC3422521,one drive,2023-05-15,One Drive is not showing the latest changes made to files. More information can be found at http://lee.info/. Contact us at eric93@example.org for assistance.,one drive showing latest changes made files information found contact us assistance,"['one', 'drive', 'showing', 'latest', 'changes', 'made', 'files', 'information', 'found', 'contact', 'us', 'assistance']"
29,INC3422521,slack,2023-05-15,Slack notifications are not being delivered to mobile devices. More information can be found at http://norton.biz/. Contact us at cookcaroline@example.org for assistance.,slack notifications delivered mobile devices information found contact us assistance,"['slack', 'notifications', 'delivered', 'mobile', 'devices', 'information', 'found', 'contact', 'us', 'assistance']"
